net,length_um
_05467_,615.525
net27,589.88
net118,573.72
_04085_,560.09
net111,538.48
net116,531.13
net83,517.66
net1,517.63
net108,509.14
_04596_,501.765
net81,501.48
net62,494.8
net3,473.15
net69,468.5
net117,465.62
net102,463.49
_02866_,460.37
net43,459.73
_03478_,456.8
_03027_,453.18
_00042_,451.56
_01039_,450.975
_00340_,450.58
net127,444.58
_05541_,443.655
net11,443.655
_05388_,442.92
_01980_,441
_00319_,440.68
_02052_,440.48
net70,439.68
net6,432.6
_00974_,427.535
_05637_,427.44
net10,422.075
net93,420.44
_03583_,419.75
_00623_,418.335
_05468_,411.79
_01050_,408.565
net47,407.93
net107,403.2
_01620_,402.75
net126,398.93
net13,398.33
net66,395.99
_01782_,395.48
_02051_,393.48
_02163_,390.62
_00843_,387.175
net52,384.7
net36,383.95
net34,383.88
_00799_,383.61
_05311_,381.535
_00143_,381.02
_02400_,379.79
_03178_,379.57
_01497_,379.21
net58,378.79
net31,377.16
net55,375.91
_05656_,371.84
_02251_,371.79
net33,370.955
net64,370.44
_01800_,369.97
_00646_,368.29
_04531_,367.13
_00624_,366.69
_01977_,366.66
net113,366.42
net22,365.37
_05676_,362.92
_00428_,362.45
_00439_,360.185
_01357_,359.91
_00657_,359.67
_05320_,359.155
_00409_,357.835
_02227_,356.82
_02178_,356.4
_02390_,355.93
_02447_,355.32
_04976_,354.64
net19,353.98
_02764_,353.33
_01007_,353.12
_03026_,352.64
_02228_,351.74
_01978_,351.465
_02161_,351.14
net89,351.04
_00283_,350.84
_03572_,350.3
_03627_,350.27
_05307_,349.71
_04552_,348.485
net17,345.63
net91,344.03
_00076_,343.93
_04585_,343
_03690_,342.77
_05308_,342.75
net73,342.38
net46,341.98
_01651_,339.98
_00139_,339.97
_00898_,339.21
_02695_,338.94
_02864_,337.71
_00038_,337.39
net14,337.05
_00762_,336.125
_01771_,333.81
net78,333.1
net9,329.88
_00526_,329.48
_00985_,329.18
_02677_,329.01
_01441_,328.27
net5,326.825
_03247_,326.075
net2,326
_01849_,325.97
_02174_,325.92
net44,325.54
_02865_,325.36
_02387_,324.89
net37,324.64
_00758_,324.48
_04889_,323.21
_00548_,322.915
_02345_,321.72
_03672_,320.5
_05497_,320.235
_02230_,318.96
_05410_,318.48
_04998_,318.37
_00297_,318.06
_03736_,317.61
_05310_,317.32
_03091_,317.205
_01356_,316.74
_03675_,315.05
_01041_,314.54
_02065_,314.48
_00900_,313.94
net63,313.04
_02868_,312.865
_02351_,312.61
_00138_,312.04
_03365_,311.08
_02840_,309.27
_00344_,308.99
_01249_,307.875
_02236_,305.68
_02173_,305.42
_00041_,304.9
_03201_,304.32
_01682_,303.9
_05304_,302.72
_04922_,302.595
_00269_,302.585
_02045_,301.28
_05539_,301.22
net16,300.94
_05008_,300.66
_04770_,300.165
_04737_,299.45
_01503_,298.9
net77,298.24
_03006_,295.35
_01046_,294.83
_00751_,293.61
_01662_,293.335
_05464_,292.78
_02941_,291.48
net120,291.44
_00748_,290.6
_00627_,289.93
net38,289.69
_05305_,289.575
_01605_,288.77
_03310_,288.75
_02812_,288.68
_03080_,287.995
_02813_,287.97
_00753_,287.87
_00615_,287.3
_00330_,286.55
_03321_,286.41
_03574_,286.29
_02197_,286.17
_03373_,286.04
_02516_,285.44
net76,285.12
_05659_,284.78
net101,284.66
_00033_,284.29
_05463_,282.71
_02054_,282.335
_03124_,282.195
_00754_,279.885
_03100_,279.82
net53,279.63
_00533_,279.565
_00355_,279.31
_00237_,279.28
net98,279.02
_00495_,278.71
_02325_,277.5
_03524_,277.45
net114,277
_05551_,276.63
_00626_,276.24
_05540_,275.82
_00963_,275.49
net29,275.28
_01500_,275.23
_02459_,275.06
_03341_,273.35
_03294_,273.29
_01042_,271.32
_04802_,270.86
_05574_,270.85
_00496_,270.84
_04781_,270.52
_05585_,269.78
_04748_,269.76
net59,269.24
_01606_,269.22
_03030_,268.36
_02850_,268.02
_03791_,267.75
_03649_,266.14
net18,265.14
_02321_,264.38
_03172_,264.31
net123,263.96
_02721_,262.11
_01864_,261.86
_02160_,261.5
_00987_,261.37
_00356_,260.57
_04716_,260.52
_02281_,259.41
net15,258.98
_05589_,258.9
_05553_,258.49
net56,258.41
net48,258.37
_05419_,257.55
_02984_,257.195
net7,257.14
_02219_,257.12
_00346_,256.65
_03616_,256.155
_00488_,252.835
_05636_,252.77
_01604_,252.685
_00498_,252.22
_01502_,251.91
_03012_,251.685
_02732_,251.31
_02947_,250.42
_01898_,249.23
_02208_,249.14
_05486_,247.68
_00152_,246.97
net60,246.92
_05557_,246.66
_02720_,246.54
_02723_,246.54
_00896_,245.57
_04878_,245.01
_00094_,244.19
_01486_,244.05
_00034_,243.85
_01798_,243.48
_05693_,242.92
_00504_,242.475
net20,241.97
_02944_,241.7
_00635_,240.83
_02699_,240.55
_00537_,240.53
_00411_,240.18
_00349_,239.86
_00668_,239.615
_02576_,239.29
_00392_,238.455
_03387_,238.32
_01671_,237.31
_02919_,236.78
_00798_,236.72
net12,236.48
_01603_,234.77
net86,234.44
_01221_,234.305
_01338_,232.51
_01552_,229.5
_02141_,229.35
_05689_,229.32
_02492_,228.24
net96,227.76
_02862_,226.885
_01610_,226.6
_05284_,226.12
net35,226.03
_02105_,225.575
_01680_,225.33
_02104_,224.94
_02551_,224.04
_03297_,223.51
_02408_,223.23
_01949_,223.16
_02064_,222.6
_00614_,220.8
net32,220.57
_03288_,220.51
_02943_,220.305
net4,219.74
_03323_,219.49
_02705_,219.37
_02320_,219.175
_00249_,219.04
_01903_,218.28
_04549_,217.92
net79,217.82
_00747_,217.79
_00609_,217.6
_02645_,216.59
_02667_,216.57
_00686_,215.99
_02894_,215.68
_00243_,215.22
_00908_,215.155
net30,214.37
_01379_,213.47
_02185_,213.22
_04543_,213.18
_01607_,212.91
_02562_,212.66
_01674_,212.24
_02626_,211.57
_02838_,211.275
_04900_,211.235
_01339_,210.42
_03780_,209.94
_02134_,208.875
_02061_,208.77
_02458_,207.38
_02302_,207.36
net87,207.14
_03489_,206.7
_02553_,206.6
_05319_,206.12
_03440_,205.9
_00546_,205.59
_03055_,205.21
_00150_,205.095
_02751_,204.78
_03827_,203.92
_00236_,203.735
net90,203.32
_00308_,203.31
_05387_,202.69
_02837_,202.33
_00035_,202.12
_02897_,201.2
_00617_,201.04
_00895_,201.03
_00348_,200.99
net61,200.28
_05655_,199.86
_00294_,199.28
_02558_,199.22
_00914_,198.96
_02113_,198.79
_00151_,198.54
_01353_,198.445
_04542_,198.28
_01675_,198.125
_03217_,197.3
_03216_,197.26
_04705_,196.58
net88,196.48
_01759_,196.325
_01856_,195.5
_00361_,193.92
_00690_,193.805
_00084_,193.62
_00350_,193.37
_05502_,192.99
_01109_,192.16
net41,191.87
_03015_,191.64
_00089_,191.34
_03605_,191.235
_05288_,191.12
_00767_,190.83
_03532_,190.76
_00983_,190.39
_05343_,190.17
_04074_,189.96
_04157_,189.88
_03856_,189.02
_00558_,188.94
_01278_,188.225
_05293_,188.2
_03255_,188.13
_03376_,188.12
net28,187.85
_02513_,187.615
_03254_,187.18
_00894_,187.075
_05327_,186.84
_05593_,186.32
_03490_,185.94
net49,185.94
net129,185.46
_02405_,184.98
_00373_,184.86
_03085_,182.02
_05345_,181.79
_01853_,181.62
_05030_,180.12
_01171_,180.06
_00461_,179.87
_02958_,179.47
_02386_,179.08
net115,178.94
_02529_,178.845
_04374_,178.58
net8,178.18
_02976_,178.115
_05552_,177.73
_02843_,177.52
_01355_,177.42
_01247_,177.22
_03332_,175.75
_03834_,175.68
_00195_,175.44
_01762_,175.29
_01852_,174.95
_01499_,174.54
_05341_,174.21
_00087_,174.06
_02060_,173.99
_01943_,173.84
_03433_,172.865
_00387_,172.73
_04043_,170.92
_05635_,170.7
_05425_,170.355
_00154_,169.94
_00358_,169.35
_00252_,168.97
_04726_,168.79
_03491_,168.045
_05550_,167.7
_03171_,167.1
_01935_,167.08
_02036_,166.8
_01414_,166.14
_01040_,165.845
_00610_,165.505
_03968_,165.26
_00354_,164.64
_01582_,164.555
net51,164.39
_01236_,163.68
_00384_,163.155
net45,163.12
_03807_,162.16
_03237_,161.725
_00515_,161.28
_01181_,161.24
_02646_,160.9
_03396_,160.64
_00395_,160.63
_03674_,160.2
_01976_,159.41
_00187_,157.58
_01588_,157.02
net100,156.66
_00556_,156.2
_00235_,155.28
_03324_,154.9
_03238_,154.07
_01385_,154.01
_00810_,152.47
_05423_,152.06
net21,151.96
_00362_,151.945
_00345_,151.56
_00240_,151.46
_02641_,151.26
_05416_,150.32
_04724_,149.875
_01060_,149.55
_01580_,149.34
_00605_,147.97
_00285_,147.48
_02108_,147.45
_01501_,146.58
_01553_,146.52
_02055_,146.29
_03483_,146.11
_00450_,146.095
_03013_,144.8
_03343_,144.26
net92,144.1
net57,143.26
_02692_,143.06
_02666_,142.615
_00830_,142.54
net54,141.57
_00248_,141.5
_01284_,141.35
_01673_,140.49
_00918_,138.34
_04063_,138.18
_05686_,137.61
_00802_,137.34
net119,137.3
_00165_,137.24
_01219_,135.46
net105,135.2
_05318_,134.62
_00421_,134.51
_04520_,133.16
_00343_,132.48
_04800_,131.62
_00408_,131.59
_02079_,131.43
_04883_,130.74
_04732_,130.68
_02136_,130.35
_00832_,129.44
_01416_,128.85
_04153_,128.74
_00232_,128.65
_02177_,128.335
_00750_,128.23
_00048_,128
_00494_,127.91
_00406_,127.895
_01335_,127.76
_02384_,127.65
_00688_,127.28
_01760_,126.955
_00059_,125.5
_01449_,125.39
_00179_,125.35
_03912_,125.1
_00351_,124.65
_00233_,124.49
net106,124.48
_03940_,123.46
_01508_,123.315
_02080_,123.3
_01597_,122.11
_01114_,121.7
_01805_,121.03
_03808_,120.7
_03004_,120.63
_01185_,120.56
_02110_,120.3
_01192_,119.98
_00679_,119.49
_01344_,119.16
_02640_,118.84
_01732_,118.17
_05640_,117.88
_02274_,117.76
_00882_,117.12
_01252_,116.12
_01783_,116.09
_03676_,115.94
net40,115.49
_00485_,115.035
_05033_,114.92
_00611_,114.56
_04564_,113.87
_01140_,113.66
_00765_,113.6
_00893_,113.395
net42,113.08
_00178_,112.88
_05697_,112.84
_03398_,112.8
_00472_,112.66
_00612_,111.79
_01887_,111.47
net39,110.96
_03694_,110.72
_02102_,110.7
_01187_,110.6
_00238_,110.465
_04197_,110.24
_01888_,110.17
_00301_,108.635
_00189_,108.44
_02157_,108.12
_00197_,107.7
_02232_,107.54
_01850_,107.315
_03223_,107.3
net50,107.06
_01074_,107.04
_04301_,106.99
_03670_,106.96
_03759_,106.82
_02041_,106.18
net99,105.94
_01703_,105.92
_01964_,105.32
_05391_,104.16
_04196_,103.86
_00412_,103.08
_04587_,102.65
_00925_,102.5
_04103_,102.33
_00837_,102.22
_04505_,102.04
_05545_,102.04
_01438_,101.63
_02810_,101.48
_03832_,101.24
net26,101.12
_04544_,100.68
_05022_,100.3
_01619_,100.12
_03621_,97.86
_02954_,97.52
_00442_,97.495
_01194_,97.37
_03750_,97.1
_02379_,96.72
_03119_,96.68
_01047_,95.45
_02936_,94.89
_05658_,94.57
net85,94.48
_00565_,94.365
_01259_,94.36
_01745_,94.06
_05642_,92.86
_00443_,92.78
net82,92.46
_01242_,92.42
_04093_,91.84
_02846_,91.64
_02296_,91.55
_02186_,91.5
_00092_,91.32
_03101_,91.22
_03570_,90.56
_03074_,89.66
_01354_,89.5
_04873_,89.425
_01704_,89.17
net97,89.06
_03273_,88.92
_03594_,88.33
_00924_,87.96
_04092_,87.8
_00559_,87.725
_00854_,87.39
_00577_,87.1
_00075_,86.92
_04075_,86.56
_00050_,86.44
_04105_,86.22
_00695_,85.87
_00086_,85.79
_01491_,85.74
_02377_,85
net24,84.64
_05484_,84.6
_03866_,84.36
net71,84.26
_02133_,84.18
_00641_,84.16
_05543_,83.94
_00493_,83.9
_04275_,83.68
_01520_,83.66
_01683_,83.4
_02398_,83.18
_03640_,83.075
_00547_,82.9
_01337_,82.72
_01286_,82.7
_04042_,82.57
net95,82.42
_05342_,82.35
net72,82.28
_04263_,82.18
_00991_,82.17
_03145_,82.12
_03070_,82.06
_02981_,81.86
_03986_,81.8
_00578_,81.78
_00887_,81.78
_02552_,80.72
_01916_,80.42
_04040_,79.885
_02595_,79.73
_03579_,79.5
_00314_,79.21
_05424_,78.96
_03375_,78.88
_02600_,78.8
_01421_,78.74
_01941_,78.58
_03685_,78.58
_05470_,78.42
_01257_,78.32
_02000_,78.22
_02467_,78.12
_00313_,77.955
net125,77.82
_01793_,77.16
_01521_,76.98
_01131_,76.68
net23,76.6
_02427_,76.54
_03845_,76.515
_03865_,76.28
_01933_,76.26
_05696_,75.98
_01987_,75.43
_03924_,75.41
_02839_,75.18
_00430_,75.165
_02120_,75.16
_03925_,75
_05459_,75
_01669_,74.98
_02793_,74.94
_04550_,74.66
_01008_,74.54
_03120_,74.44
_01222_,74.23
_02271_,74.18
_04265_,74.18
_05559_,74.12
_02688_,73.86
_02636_,73.58
_04139_,73.4
_00510_,73.36
_02007_,73.34
_00204_,73.16
_03549_,73.14
_03755_,72.97
_00205_,72.84
_03893_,72.645
_03703_,72.38
_05695_,71.895
_05691_,71.3
net103,71.1
_05019_,70.98
net80,70.84
_01132_,70.72
_03274_,70.7
_01498_,70.34
_01469_,70.2
_03354_,70.16
_04144_,70.14
_01496_,69.86
_02069_,69.8
_02469_,69.8
_02770_,69.32
_01423_,68.87
_00268_,68.83
_03985_,68.8
_04185_,68.78
_05344_,68.6
_04478_,68.46
_00423_,68.33
_03034_,68.32
_00563_,68.2
_02407_,68.14
_04901_,68.06
_02392_,67.76
_04801_,67.545
_01934_,67.4
_04738_,66.86
_01359_,66.68
_03220_,66.5
_00171_,66.42
_03505_,66.34
_00673_,66.32
_04148_,66.04
_05405_,65.98
_02343_,65.64
_03749_,65.56
_02396_,65.28
_02206_,65.22
_02008_,65.08
_03179_,65.02
_02949_,64.8
_02952_,64.8
_03170_,64.7
_01447_,64.6
_02205_,64.44
_03867_,64.41
_04638_,64.36
_00642_,64.22
_05491_,64
_05383_,63.9
_05041_,63.66
_00193_,63.38
_00660_,63.36
_03056_,63.28
_04149_,63.18
_01598_,62.98
_02319_,62.85
_04165_,62.85
_03720_,62.62
_04830_,62.19
_04489_,62.08
_01561_,62.06
_04488_,62.04
_01303_,61.9
_02229_,61.72
_05591_,61.66
_01708_,61.54
_01709_,61.32
_03664_,61.12
_03506_,61.04
_04404_,60.96
_00813_,60.5
_04300_,60.45
_01470_,60.28
_00835_,59.76
_04155_,59.76
_02671_,59.74
_00801_,59.72
_03193_,59.54
_00929_,59.52
_00529_,59.48
_05471_,59.44
_02129_,59.3
net94,59.28
_04445_,59.14
_00081_,59.12
_03438_,58.96
_00839_,58.5
_01896_,58.49
_02234_,58.46
_00581_,58.4
_02811_,58.36
_05627_,58.34
_02847_,58.24
_03386_,58.24
_04182_,58.19
_04804_,58.1
_05412_,58.1
_00782_,57.88
_04541_,57.82
_02663_,57.8
_01304_,57.54
_01527_,57.46
_05622_,57.32
_03777_,57.27
_05322_,57.18
_03014_,57.12
_05384_,57.11
_01202_,57.08
_01566_,56.99
_04666_,56.68
_03339_,56.64
_00427_,56.54
_01065_,56.48
_05426_,56.4
_05475_,56.36
_00860_,56.3
_05275_,56.28
_01562_,56.14
_00201_,56.04
_00955_,55.94
_04993_,55.9
_02444_,55.82
_02262_,55.64
_03641_,55.63
_04598_,55.36
_03875_,55.31
_01009_,55.29
_01431_,55.26
_01748_,55.175
_00968_,55.06
net112,55.04
_02254_,55.02
_02769_,55.02
_00602_,55
_00158_,54.96
_01028_,54.72
_04403_,54.56
_00969_,54.46
_00783_,54.42
_00857_,54.12
_01984_,53.84
_04586_,53.84
_01262_,53.7
_02443_,53.7
_00710_,53.64
_01134_,53.54
_05274_,53.36
net84,53.24
_00853_,53.08
_03058_,53.08
_05209_,52.88
_01556_,52.8
_02824_,52.62
_03776_,52.56
_04213_,52.5
_00542_,52.48
_00284_,52.38
_03356_,52.29
_01753_,52.21
_04050_,52.11
_04655_,52.08
_04008_,52.005
_00170_,51.88
_05300_,51.88
_00275_,51.76
_05216_,51.64
_05555_,51.545
_02678_,51.54
_02786_,51.4
_05560_,51.32
_00707_,51.09
_01083_,51.015
_03718_,51
_04807_,50.96
_02231_,50.78
_01243_,50.7
_02915_,50.68
_01716_,50.66
_04831_,50.56
_00903_,50.54
_04232_,50.52
_00927_,50.46
_01397_,50.46
_05332_,50.46
_02899_,50.43
_05485_,50.36
_03551_,50.26
_04548_,50.16
_00711_,50.12
_05248_,50.12
_01097_,50.06
_00815_,50
_03829_,50
_01526_,49.96
_02514_,49.96
_04642_,49.81
_01569_,49.78
_01198_,49.58
_02597_,49.26
_05055_,49.24
_03041_,49.22
_02006_,49.2
_01804_,49.18
_00709_,49.09
_01484_,49
_00299_,48.955
_04421_,48.66
_00771_,48.62
_01560_,48.59
_00966_,48.58
_03157_,48.55
_00608_,48.54
_01576_,48.54
_03296_,48.52
_00888_,48.5
_00940_,48.42
_01266_,48.28
_03894_,48.26
_04867_,48.24
_01652_,48.225
_01827_,48.18
_04811_,47.86
_03138_,47.82
_02827_,47.76
_03104_,47.54
net74,47.46
_03945_,47.435
_01387_,47.4
_01182_,47.38
_03619_,47.36
_01396_,47.19
_04592_,47.18
_01647_,47.11
_01151_,47.02
_01075_,46.98
_03812_,46.96
_05303_,46.92
_00274_,46.9
_00317_,46.8
_00794_,46.8
_01220_,46.78
_01393_,46.74
_03739_,46.7
_05114_,46.68
_05063_,46.66
_02719_,46.65
_00391_,46.54
_00738_,46.54
_04118_,46.52
_01055_,46.44
_04723_,46.32
_01858_,46.22
_05346_,46.2
_01691_,46.14
_04694_,46.14
_00633_,46.12
_02327_,46
_00856_,45.78
_00637_,45.76
_00873_,45.75
_04142_,45.68
_00413_,45.65
_01199_,45.5
_01542_,45.48
_01766_,45.455
_00582_,45.44
_05400_,45.44
_01172_,45.36
_05575_,45.02
_01432_,44.98
_04158_,44.82
_04236_,44.76
_01750_,44.74
_03767_,44.7
_03407_,44.68
_01408_,44.64
_00949_,44.62
_05584_,44.5
_02364_,44.46
_03212_,44.44
_03830_,44.26
_01510_,44.24
_04429_,44.2
_04046_,44.14
_05112_,44.14
_00713_,44.08
_03406_,44.06
_00583_,44.02
_00402_,43.76
_03415_,43.7
_00672_,43.63
_02955_,43.62
_01048_,43.61
_02253_,43.51
_00693_,43.4
_00708_,43.4
_03208_,43.38
_02745_,43.34
_03789_,43.28
_00989_,43.24
_01795_,43.16
_01697_,43.035
_04225_,43.03
_00772_,43.01
_02358_,42.94
_00803_,42.88
_02181_,42.82
_01905_,42.8
_02550_,42.77
_02570_,42.68
_03822_,42.62
_04730_,42.6
_05499_,42.5
_00511_,42.47
_04762_,42.46
_04761_,42.44
_00670_,42.27
_00861_,42.14
_01825_,42.12
_02005_,42.12
_00631_,42.08
_04387_,42.08
_04388_,42.08
_04128_,42
_04870_,42
_05278_,42
_05337_,42
_01848_,41.88
_04931_,41.88
_04693_,41.82
_01020_,41.8
_02615_,41.8
_01515_,41.76
_02490_,41.74
_00942_,41.72
_01946_,41.72
_02722_,41.72
_04643_,41.68
_01650_,41.62
_00786_,41.58
_03638_,41.48
_01228_,41.46
_02860_,41.45
_01625_,41.42
_00543_,41.28
_01270_,41.235
_04371_,41.22
_00821_,41.2
_01568_,41.18
_02429_,41.15
_01824_,41.07
_00200_,41.06
_03501_,40.98
_03663_,40.92
_03618_,40.87
_00881_,40.82
_03872_,40.77
_01372_,40.74
_05270_,40.72
_04249_,40.71
_00850_,40.56
_02895_,40.56
_04713_,40.56
_01366_,40.5
_04026_,40.48
_03420_,40.46
_01649_,40.43
_04562_,40.38
_03008_,40.14
_04226_,40.14
_03946_,40.13
_02820_,40.08
_03995_,40
_04004_,40
_04538_,39.9
_03444_,39.84
_00367_,39.77
